birth_year,sex_name,count
1901,Женский,1
1901,Мужской,-1
1902,Мужской,-1
1911,Мужской,-1
1916,Женский,1
1919,Мужской,-1
1923,Мужской,-1
1925,Женский,1
1926,Мужской,-1
1941,Мужской,-2
1942,Женский,1
1943,Мужской,-1
1946,Женский,1
1948,Мужской,-1
1952,Женский,1
1961,Мужской,-4
1963,Мужской,-4
1965,Женский,2
1965,Мужской,-2
1966,Мужской,-2
1967,Женский,1
1967,Мужской,-1
1968,Мужской,-1
1969,Мужской,-1
1970,Женский,2
1971,Мужской,-2
1972,Женский,2
1972,Мужской,-2
1973,Женский,1
1973,Мужской,-2
1974,Женский,1
1974,Мужской,-5
1975,Женский,1
1975,Мужской,-3
1976,Женский,2
1976,Мужской,-4
1977,Женский,1
1977,Мужской,-7
1978,Мужской,-7
1979,Женский,2
1979,Мужской,-4
1980,Женский,4
1980,Мужской,-5
1981,Женский,3
1981,Мужской,-6
1982,Женский,3
1982,Мужской,-6
1983,Женский,10
1983,Мужской,-7
1984,Женский,8
1984,Мужской,-9
1985,Женский,7
1985,Мужской,-6
1986,Женский,6
1986,Мужской,-6
1987,Женский,14
1987,Мужской,-12
1988,Женский,18
1988,Мужской,-12
1989,Женский,15
1989,Мужской,-5
1990,Женский,15
1990,Мужской,-9
1991,Женский,17
1991,Мужской,-9
1992,Женский,19
1992,Мужской,-7
1993,Женский,10
1993,Мужской,-2
1994,Женский,16
1994,Мужской,-9
1995,Женский,17
1995,Мужской,-7
1996,Женский,6
1996,Мужской,-10
1997,Женский,7
1997,Мужской,-6
1998,Женский,7
1998,Мужской,-6
1999,Женский,3
1999,Мужской,-5
2000,Женский,7
2000,Мужской,-13
2001,Женский,3
2001,Мужской,-7
2002,Женский,5
2002,Мужской,-8
2003,Мужской,-9
2004,Женский,3
2004,Мужской,-4
2005,Женский,3
2005,Мужской,-4
2006,Женский,1
2006,Мужской,-4
2007,Женский,2
2007,Мужской,-3
2008,Женский,2
2008,Мужской,-6
2009,Женский,2
2009,Мужской,-2
2010,Женский,3
2010,Мужской,-5
2011,Женский,2
2011,Мужской,-1
